ticket_id,product,category,issue_description,resolution_notes,priority,status,channel,region,subscription_type,customer_tenure_months,previous_tickets,customer_satisfaction_score,first_response_time_hours,resolution_time_hours,ticket_created_date,ticket_resolved_date,escalated,sla_breached,language,issue_complexity_score,customer_segment,customer_id,order_value
19,Analytics Dashboard,Account Suspension,I would like to request a refund for the recent charge.,Payment gateway timeout issue fixed and monitoring implemented.,Medium,Pending Customer,Social Media,South America,Premium,29,2,3,17.27,81.27,2024-07-02,2024-07-16,True,True,Japanese,4,Individual,2053ab6d09b9,221.65
20,E-commerce Store,Login Issue,The application crashes whenever I try to upload a file.,Bug logged internally and workaround shared with the customer.,Low,Closed,Web Form,South America,Premium,49,12,4,38.98,176.58,2024-08-12,2024-08-18,True,False,German,7,Small Business,569520ada4ac,152.7
21,Billing System,Security Concern,I am unable to access my account after entering the correct credentials.,Bug logged internally and workaround shared with the customer.,Low,Open,Web Form,Europe,Basic,4,8,4,23.91,109.67,2022-09-19,2022-09-28,False,False,English,1,Corporate,20e17461bf42,309.81
22,Subscription Service,Payment Problem,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Medium,Open,Social Media,Europe,Enterprise,43,3,5,68.26,112.14,2023-04-05,2023-04-15,False,False,Japanese,3,Small Business,241fd59c014c,78.35
23,Subscription Service,Bug Report,The payment was deducted from my bank account but the transaction shows failed.,Explained billing breakdown and clarified applicable charges.,Low,Pending Customer,Social Media,North America,Free,23,17,4,47.8,17.48,2024-02-08,2024-02-14,False,True,German,8,Corporate,e7696e5ad3d9,153.15
24,Cloud Storage,Feature Request,I found a bug in the latest update affecting report generation.,Data synchronization restored after backend service restart.,Urgent,Resolved,Social Media,Asia,Free,18,14,2,54.16,137.19,2024-12-04,2024-12-14,False,False,Spanish,4,Small Business,1e0ebb15da5b,189.52
25,Web Portal,Login Issue,The system is not syncing data across devices properly.,Subscription status corrected and confirmation email sent to customer.,Medium,Resolved,Web Form,Australia,Enterprise,42,15,4,57.19,23.24,2023-07-20,2023-07-28,True,False,French,9,Corporate,847556bf7a40,233.47
26,Analytics Dashboard,Subscription Cancellation,I am experiencing very slow performance while using the dashboard.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Open,Chat,Asia,Basic,13,6,4,20.27,141.91,2023-11-09,2023-11-14,False,True,French,5,Individual,e6278776d76a,394.74
27,Web Portal,Feature Request,My subscription was cancelled without my request and I need clarification.,Payment gateway timeout issue fixed and monitoring implemented.,Low,Closed,Phone,South America,Premium,12,1,3,67.79,115.18,2022-04-22,2022-04-30,True,False,Japanese,3,Individual,42926e68a511,107.84
28,Billing System,Refund Request,I found a bug in the latest update affecting report generation.,Explained billing breakdown and clarified applicable charges.,Medium,Closed,Web Form,South America,Enterprise,20,18,5,4.81,230.47,2022-08-31,2022-09-08,True,True,Spanish,3,Corporate,ff1961847728,261.97
29,Mobile App,Data Sync Issue,I would like to request a refund for the recent charge.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Pending Customer,Phone,Africa,Free,44,7,3,56.83,150.39,2024-07-11,2024-07-22,True,False,Japanese,5,Individual,9f2152c29e4b,300.28
30,E-commerce Store,Payment Problem,I would like to request a refund for the recent charge.,Provided step-by-step troubleshooting instructions and issue resolved.,High,Closed,Social Media,South America,Free,57,13,3,43.67,7.18,2023-08-15,2023-08-22,True,True,Spanish,9,Corporate,2e28e870ae87,32.76
31,CRM Platform,Subscription Cancellation,The payment was deducted from my bank account but the transaction shows failed.,Payment gateway timeout issue fixed and monitoring implemented.,Urgent,Pending Customer,Phone,Africa,Premium,27,15,3,47.87,96.71,2024-06-11,2024-06-21,True,False,French,7,Corporate,dd72e9493942,307.7
32,Cloud Storage,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Explained billing breakdown and clarified applicable charges.,Urgent,Open,Chat,Asia,Premium,29,15,1,2.56,151.58,2022-04-22,2022-04-25,True,True,Chinese,2,Individual,b1e822741cdc,93.56
33,E-commerce Store,Feature Request,The system is not syncing data across devices properly.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,Resolved,Chat,South America,Enterprise,13,19,5,53.86,33.63,2022-11-12,2022-11-19,True,False,French,5,Corporate,371ae62f03ce,41.88
34,Cloud Storage,Account Suspension,I would like to request a refund for the recent charge.,Data synchronization restored after backend service restart.,High,Pending Customer,Social Media,Australia,Premium,56,6,2,41.38,56.82,2024-09-29,2024-10-12,False,True,German,8,Individual,e5e1a4398d54,474.95
35,API Service,Payment Problem,I would like to request a refund for the recent charge.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,Open,Chat,South America,Basic,5,15,3,24.71,166.56,2023-11-11,2023-11-24,True,False,Japanese,9,Individual,bd799ecd4a4f,483.16
36,Web Portal,Payment Problem,Two-factor authentication codes are not being delivered to my phone.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,In Progress,Phone,North America,Free,19,11,3,31.29,59.36,2023-08-12,2023-08-15,False,True,Chinese,10,Corporate,f5c04c1adfb4,406.11
37,Analytics Dashboard,Subscription Cancellation,I am experiencing very slow performance while using the dashboard.,Payment gateway timeout issue fixed and monitoring implemented.,Low,Resolved,Phone,Africa,Free,29,11,5,21.89,230.92,2022-10-21,2022-10-24,False,False,German,4,Small Business,7ea617c8e048,159.26
38,Billing System,Refund Request,I am experiencing very slow performance while using the dashboard.,We have reset the account credentials and advised the customer to retry login.,Low,Closed,Web Form,Asia,Premium,15,20,2,44.89,162.99,2023-08-28,2023-08-28,True,True,English,3,Individual,704c675d87eb,57.86
39,API Service,Account Suspension,The system is not syncing data across devices properly.,Security settings updated and customer notified of precautionary measures.,High,In Progress,Phone,South America,Premium,52,3,4,69.35,34.64,2022-12-26,2022-12-29,True,False,German,5,Corporate,084eab036855,345.27
40,Subscription Service,Refund Request,There seems to be a discrepancy in my billing statement for this month.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,Open,Social Media,Australia,Basic,42,2,4,65.52,73.22,2023-06-21,2023-06-30,False,True,French,2,Individual,173ef02a6391,225.67
41,Payment Gateway,Security Concern,Two-factor authentication codes are not being delivered to my phone.,Explained billing breakdown and clarified applicable charges.,Urgent,Open,Web Form,Australia,Free,45,11,2,32.2,228.18,2024-07-18,2024-07-23,False,True,English,5,Individual,1bbafccc5f6f,69.8
42,CRM Platform,Data Sync Issue,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Medium,In Progress,Social Media,Europe,Basic,38,6,2,23.99,36.27,2023-03-11,2023-03-21,True,False,French,2,Corporate,b7da7740a17a,252.64
43,Analytics Dashboard,Performance Issue,I am unable to access my account after entering the correct credentials.,The issue was escalated to engineering and resolved in the latest patch.,Low,In Progress,Web Form,Australia,Free,31,14,3,37.2,27.06,2023-05-03,2023-05-12,True,True,Japanese,1,Small Business,23580aee3902,26.85
44,CRM Platform,Subscription Cancellation,The payment was deducted from my bank account but the transaction shows failed.,The duplicate charge was reversed and refund processed within 3-5 business days.,Medium,Open,Chat,Asia,Premium,25,19,5,21.59,121.83,2024-10-01,2024-10-12,False,True,German,4,Small Business,10cfae07da47,455.57
45,CRM Platform,Refund Request,There seems to be a discrepancy in my billing statement for this month.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Resolved,Email,North America,Free,28,3,3,58.54,133.97,2022-07-14,2022-07-19,False,True,Japanese,5,Corporate,f4a5954531f0,136.8
46,Web Portal,Account Suspension,I would like to request a refund for the recent charge.,Subscription status corrected and confirmation email sent to customer.,High,Closed,Phone,North America,Basic,52,13,5,70.18,196.6,2024-11-05,2024-11-08,True,False,Japanese,6,Small Business,991dead82ba8,334.64
47,API Service,Account Suspension,I am unable to access my account after entering the correct credentials.,The duplicate charge was reversed and refund processed within 3-5 business days.,Medium,Resolved,Web Form,South America,Premium,20,10,5,43.13,212.12,2024-03-31,2024-04-01,True,True,French,7,Small Business,2c9b639cc498,162.74
48,E-commerce Store,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,Security settings updated and customer notified of precautionary measures.,Low,Pending Customer,Social Media,South America,Premium,3,7,4,70.89,14.09,2023-03-18,2023-03-30,True,False,French,2,Individual,4005f3b9e6b8,264.83
49,CRM Platform,Bug Report,The system is not syncing data across devices properly.,Data synchronization restored after backend service restart.,Low,Resolved,Email,South America,Free,56,10,5,31.19,97.66,2024-02-18,2024-02-26,False,False,French,10,Small Business,50c159b5b024,277.89
50,Web Portal,Data Sync Issue,Two-factor authentication codes are not being delivered to my phone.,Data synchronization restored after backend service restart.,Urgent,Pending Customer,Phone,Europe,Free,33,20,1,38.44,47.34,2023-05-14,2023-05-20,False,False,Spanish,4,Individual,093928293be4,100.58
51,Billing System,Subscription Cancellation,I would like to request a refund for the recent charge.,Explained billing breakdown and clarified applicable charges.,Urgent,Closed,Social Media,Asia,Premium,10,14,1,34.03,151.9,2022-06-04,2022-06-06,False,True,French,8,Individual,098ce87b5374,485.1
52,API Service,Payment Problem,I found a bug in the latest update affecting report generation.,Explained billing breakdown and clarified applicable charges.,Urgent,Resolved,Social Media,Australia,Free,29,18,2,23.49,114.68,2022-06-07,2022-06-17,True,True,Japanese,9,Corporate,c9dba5630957,389.82
53,Payment Gateway,Security Concern,The system is not syncing data across devices properly.,Explained billing breakdown and clarified applicable charges.,High,Pending Customer,Phone,South America,Free,51,20,3,5.21,23.59,2024-06-15,2024-06-22,False,False,French,10,Corporate,d85230f5bba6,470.35
54,API Service,Data Sync Issue,The payment was deducted from my bank account but the transaction shows failed.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,Pending Customer,Chat,Africa,Free,42,13,5,26.37,87.66,2024-03-13,2024-03-15,True,True,Spanish,3,Individual,3786eaf60452,448.47
55,Billing System,Performance Issue,I found a bug in the latest update affecting report generation.,The issue was escalated to engineering and resolved in the latest patch.,Urgent,In Progress,Chat,Europe,Basic,47,14,1,29.88,162.65,2024-12-14,2024-12-14,True,False,Spanish,5,Small Business,36d2ec35038a,302.97
56,API Service,Feature Request,Two-factor authentication codes are not being delivered to my phone.,Data synchronization restored after backend service restart.,Urgent,In Progress,Chat,Australia,Free,42,15,3,40.15,25.52,2024-06-21,2024-06-28,True,False,German,7,Individual,25359247f7e6,461.72
57,CRM Platform,Login Issue,Two-factor authentication codes are not being delivered to my phone.,Data synchronization restored after backend service restart.,Medium,Resolved,Email,Asia,Premium,60,3,3,57.08,33.89,2022-02-24,2022-03-02,False,False,Chinese,2,Individual,9dbf71d6c791,53.36
58,Analytics Dashboard,Payment Problem,I am experiencing very slow performance while using the dashboard.,Subscription status corrected and confirmation email sent to customer.,Low,Open,Chat,South America,Enterprise,5,3,4,43.17,4.93,2024-12-16,2024-12-22,True,True,Chinese,4,Corporate,a903579a660a,106.03
59,API Service,Performance Issue,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,Low,Resolved,Web Form,North America,Premium,17,0,3,56.88,83.41,2022-06-25,2022-07-03,True,False,Chinese,3,Corporate,f1e5681ecc7f,32.16
60,Subscription Service,Subscription Cancellation,I am unable to access my account after entering the correct credentials.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,In Progress,Email,Asia,Enterprise,53,17,4,18.61,181.04,2022-10-04,2022-10-05,True,False,French,6,Small Business,0141314b5301,169.41
61,API Service,Subscription Cancellation,I would like to request a refund for the recent charge.,Security settings updated and customer notified of precautionary measures.,High,Open,Web Form,North America,Basic,35,9,3,7.84,79.37,2023-11-26,2023-11-28,False,False,Spanish,6,Small Business,0b59af3a0071,200.45
62,CRM Platform,Login Issue,The payment was deducted from my bank account but the transaction shows failed.,Bug logged internally and workaround shared with the customer.,Medium,Open,Chat,Australia,Free,9,2,2,56.16,88.55,2023-07-17,2023-07-27,False,True,French,8,Individual,d0778c71045b,142.96
63,Mobile App,Feature Request,The application crashes whenever I try to upload a file.,The duplicate charge was reversed and refund processed within 3-5 business days.,Medium,Resolved,Social Media,South America,Premium,50,8,4,15.84,147.24,2024-03-26,2024-03-31,False,True,German,8,Individual,8a4b4a2304a5,416.08
64,CRM Platform,Feature Request,My subscription was cancelled without my request and I need clarification.,The issue was escalated to engineering and resolved in the latest patch.,Medium,Open,Chat,Europe,Free,24,17,5,26.88,193.08,2023-08-18,2023-09-01,True,True,Japanese,9,Small Business,9600f2c45039,184.81
65,API Service,Payment Problem,I would like to request a refund for the recent charge.,Payment gateway timeout issue fixed and monitoring implemented.,High,In Progress,Social Media,Africa,Basic,28,16,1,59.94,124.83,2023-10-12,2023-10-22,False,True,French,2,Small Business,d95158b5ce1d,147.66
66,Payment Gateway,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,Medium,In Progress,Social Media,Africa,Premium,54,18,1,59.5,7.78,2023-09-13,2023-09-22,True,False,Chinese,8,Corporate,25aab1aecdfd,275.92
67,Web Portal,Refund Request,I am experiencing very slow performance while using the dashboard.,Payment gateway timeout issue fixed and monitoring implemented.,Low,In Progress,Web Form,South America,Basic,22,19,2,22.85,172.69,2024-09-16,2024-09-19,False,False,Chinese,6,Individual,e1c2fc1818a0,79.05
68,E-commerce Store,Payment Problem,I am unable to access my account after entering the correct credentials.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,In Progress,Chat,Asia,Premium,13,5,4,71.71,112.57,2023-05-23,2023-05-25,False,False,Chinese,4,Individual,9014e290d471,403.08
69,API Service,Data Sync Issue,I would like to request a refund for the recent charge.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,Open,Web Form,Europe,Premium,49,12,3,3.73,13.23,2023-07-31,2023-08-07,True,False,German,9,Small Business,968b1866a141,46.53
70,CRM Platform,Performance Issue,There seems to be a discrepancy in my billing statement for this month.,Data synchronization restored after backend service restart.,Medium,In Progress,Social Media,Australia,Free,3,1,2,51.52,193.15,2022-07-18,2022-07-24,False,True,French,3,Small Business,38ecf0f27c8c,493.57
71,Billing System,Security Concern,The system is not syncing data across devices properly.,Payment gateway timeout issue fixed and monitoring implemented.,High,Resolved,Email,Asia,Free,27,18,3,57.47,174.35,2024-11-04,2024-11-17,True,False,Spanish,10,Small Business,ae884c3c6f44,388.4
72,Web Portal,Bug Report,I am unable to access my account after entering the correct credentials.,Explained billing breakdown and clarified applicable charges.,Medium,Open,Web Form,Asia,Enterprise,45,6,4,36.38,147.14,2024-02-18,2024-02-20,False,True,Chinese,8,Corporate,1a6f34f2b203,107.37
73,CRM Platform,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Data synchronization restored after backend service restart.,High,Closed,Web Form,Europe,Premium,15,9,3,50.9,165.97,2024-07-30,2024-08-13,False,False,Japanese,5,Individual,88f7381309e0,12.71
74,Analytics Dashboard,Account Suspension,I am experiencing very slow performance while using the dashboard.,We have reset the account credentials and advised the customer to retry login.,Low,Pending Customer,Web Form,Africa,Enterprise,14,6,5,19.89,135.32,2023-12-08,2023-12-20,False,True,Spanish,1,Corporate,328a36aff07e,409.58
75,Web Portal,Refund Request,There seems to be a discrepancy in my billing statement for this month.,Payment gateway timeout issue fixed and monitoring implemented.,Medium,Open,Social Media,Europe,Enterprise,31,20,2,54.55,69.65,2022-04-18,2022-04-19,False,True,Chinese,3,Small Business,f32a34ccb727,356.36
76,Analytics Dashboard,Feature Request,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Low,Pending Customer,Phone,South America,Enterprise,57,4,5,33.96,47.08,2024-10-11,2024-10-13,True,False,Japanese,1,Corporate,fde3abda6034,367.21
77,API Service,Data Sync Issue,Two-factor authentication codes are not being delivered to my phone.,Bug logged internally and workaround shared with the customer.,High,Open,Web Form,Africa,Basic,31,10,2,0.99,92.67,2023-01-31,2023-02-02,False,False,Japanese,5,Corporate,7519300818a9,387.92
78,API Service,Feature Request,My subscription was cancelled without my request and I need clarification.,Bug logged internally and workaround shared with the customer.,High,Open,Phone,Asia,Basic,9,15,2,33.03,237.33,2022-08-31,2022-09-07,False,False,Japanese,4,Corporate,63ef152e78ff,46.28
79,Web Portal,Performance Issue,The payment was deducted from my bank account but the transaction shows failed.,Explained billing breakdown and clarified applicable charges.,Low,Closed,Social Media,Europe,Basic,11,10,5,32.09,163.59,2024-12-17,2024-12-28,False,True,German,9,Small Business,89d380cb8373,185.65
80,Analytics Dashboard,Feature Request,I am unable to access my account after entering the correct credentials.,Bug logged internally and workaround shared with the customer.,Low,In Progress,Social Media,North America,Premium,45,2,5,71.58,224.37,2024-08-04,2024-08-14,True,False,Spanish,7,Small Business,277cbf90461a,66.78
81,Web Portal,Security Concern,My subscription was cancelled without my request and I need clarification.,Security settings updated and customer notified of precautionary measures.,Medium,Closed,Web Form,Australia,Basic,54,0,1,70.46,111.66,2024-02-09,2024-02-10,False,False,French,5,Individual,a9ca5367091e,432.92
82,Web Portal,Login Issue,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,Low,Closed,Email,South America,Free,16,1,4,31.89,130.0,2024-05-08,2024-05-17,True,True,Japanese,10,Corporate,c9cb4f57dd3f,315.42
83,Mobile App,Refund Request,I am experiencing very slow performance while using the dashboard.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Resolved,Social Media,South America,Enterprise,51,16,3,50.29,98.57,2024-12-03,2024-12-06,False,False,Spanish,5,Corporate,b3b028f7dc83,172.14
84,E-commerce Store,Security Concern,The system is not syncing data across devices properly.,The issue was escalated to engineering and resolved in the latest patch.,Medium,Pending Customer,Chat,Asia,Enterprise,55,11,1,38.8,199.23,2024-04-25,2024-05-01,True,False,English,4,Corporate,f28fd002d054,41.14
85,Web Portal,Login Issue,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,Urgent,In Progress,Social Media,Africa,Basic,36,10,3,27.72,128.54,2023-11-13,2023-11-17,False,False,German,2,Corporate,b2d21aa55159,162.38
86,Subscription Service,Refund Request,I am unable to access my account after entering the correct credentials.,Explained billing breakdown and clarified applicable charges.,Medium,Open,Phone,Australia,Enterprise,19,4,2,24.09,91.78,2024-01-30,2024-02-04,True,False,German,8,Individual,fa77ca1b5d4d,169.34
87,Mobile App,Security Concern,I am unable to access my account after entering the correct credentials.,Data synchronization restored after backend service restart.,Low,Open,Email,South America,Basic,5,4,1,16.14,109.99,2024-09-27,2024-09-29,True,False,Chinese,1,Individual,521614df8e55,367.51
88,Web Portal,Refund Request,My subscription was cancelled without my request and I need clarification.,The duplicate charge was reversed and refund processed within 3-5 business days.,Medium,In Progress,Chat,Australia,Premium,18,12,1,27.17,98.04,2022-02-05,2022-02-13,True,True,English,7,Small Business,8a1417463578,322.4
89,E-commerce Store,Account Suspension,The payment was deducted from my bank account but the transaction shows failed.,Payment gateway timeout issue fixed and monitoring implemented.,High,Closed,Email,Australia,Basic,58,18,4,19.88,221.87,2022-01-20,2022-01-31,False,True,Spanish,7,Individual,155889bb041c,444.73
90,Payment Gateway,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Bug logged internally and workaround shared with the customer.,Low,Closed,Phone,North America,Basic,54,2,3,43.77,147.71,2024-03-07,2024-03-17,False,False,German,6,Corporate,57879f7297ee,241.39
91,Web Portal,Data Sync Issue,I am experiencing very slow performance while using the dashboard.,Subscription status corrected and confirmation email sent to customer.,Low,Pending Customer,Chat,South America,Basic,48,12,3,26.29,22.87,2024-02-18,2024-02-19,False,False,Spanish,3,Small Business,27b23048fd7e,68.6
92,API Service,Login Issue,The payment was deducted from my bank account but the transaction shows failed.,Security settings updated and customer notified of precautionary measures.,Low,Closed,Social Media,Asia,Free,19,13,4,56.21,174.24,2024-04-15,2024-04-16,True,True,French,5,Small Business,5b0568c4a5bd,359.49
93,CRM Platform,Feature Request,I would like to request a refund for the recent charge.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,In Progress,Web Form,Australia,Enterprise,7,4,3,0.98,95.57,2023-07-20,2023-07-26,False,False,Japanese,5,Small Business,9a86b62234ce,382.78
94,Billing System,Performance Issue,I am experiencing very slow performance while using the dashboard.,Payment gateway timeout issue fixed and monitoring implemented.,Medium,Pending Customer,Web Form,Asia,Premium,8,18,2,42.84,131.41,2022-12-30,2023-01-05,True,False,Japanese,7,Corporate,2295c5aff3b9,285.03
95,Web Portal,Account Suspension,Two-factor authentication codes are not being delivered to my phone.,Bug logged internally and workaround shared with the customer.,Urgent,Closed,Web Form,Australia,Enterprise,35,1,3,50.67,195.14,2023-05-11,2023-05-15,True,True,Japanese,10,Corporate,473314acb8d1,387.77
96,API Service,Payment Problem,I am experiencing very slow performance while using the dashboard.,Subscription status corrected and confirmation email sent to customer.,Medium,Resolved,Phone,South America,Basic,23,0,4,7.98,100.42,2022-08-05,2022-08-05,True,True,French,4,Corporate,be69a2e3da1f,251.96
97,Analytics Dashboard,Subscription Cancellation,There seems to be a discrepancy in my billing statement for this month.,The duplicate charge was reversed and refund processed within 3-5 business days.,Low,Open,Email,Asia,Basic,60,7,5,12.97,39.27,2024-06-16,2024-06-27,False,False,Spanish,7,Individual,8f4c8c239653,266.14
98,Analytics Dashboard,Login Issue,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,Low,Closed,Email,Australia,Premium,13,14,1,19.26,207.17,2024-05-29,2024-06-04,False,False,English,6,Small Business,d8e750f5e66d,219.5
99,Payment Gateway,Data Sync Issue,I found a bug in the latest update affecting report generation.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,Open,Chat,Asia,Premium,45,4,5,28.28,143.55,2023-09-02,2023-09-16,False,False,Japanese,9,Individual,edf306573ec4,22.46
100,CRM Platform,Subscription Cancellation,I found a bug in the latest update affecting report generation.,We have reset the account credentials and advised the customer to retry login.,Low,Resolved,Chat,Europe,Enterprise,27,15,4,51.28,107.08,2023-10-07,2023-10-20,True,True,French,5,Individual,c92715b6723e,62.87
101,Web Portal,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,Explained billing breakdown and clarified applicable charges.,High,Closed,Phone,Australia,Enterprise,35,6,4,7.82,199.39,2024-10-11,2024-10-19,True,False,French,8,Individual,b227ef208b64,25.4
102,Billing System,Data Sync Issue,Two-factor authentication codes are not being delivered to my phone.,The issue was escalated to engineering and resolved in the latest patch.,Medium,In Progress,Chat,North America,Premium,39,17,2,23.64,169.27,2023-12-20,2024-01-02,False,False,German,5,Corporate,3cd59f98db89,321.84
103,Payment Gateway,Bug Report,Two-factor authentication codes are not being delivered to my phone.,Payment gateway timeout issue fixed and monitoring implemented.,High,Resolved,Web Form,South America,Free,26,16,3,50.17,210.68,2023-10-22,2023-11-04,False,False,Japanese,8,Corporate,2a15971a48db,164.03
104,Analytics Dashboard,Refund Request,The application crashes whenever I try to upload a file.,Payment gateway timeout issue fixed and monitoring implemented.,High,Pending Customer,Phone,Australia,Enterprise,51,10,1,3.78,150.66,2024-03-25,2024-03-28,False,True,German,7,Individual,ae5dbfa390c6,259.2
